library_no,pose_id,bvh_filename,source_clip_id,provider,collection_id,native_subject_id,native_asset_id,native_clip_id,original_title,original_filename,selected_frame_index,selected_frame_index_hint,frame_index_base,source_fps,sample_ordinal,retarget_profile,operations,source_uri,source_sha256,catalog_snapshot_ref,catalog_match_status,file_lineage_status,reviewer,notes
BVH-000026,Boxing_03_mirror,Boxing_03_mirror.bvh,local_named:Boxing,unknown,local_named,,,,Boxing,,,,unknown,,3,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000027,Button Pushing_01,Button Pushing_01.bvh,local_action_raw:Button Pushing,unknown,local_action_raw,,,,Button Pushing,Button Pushing.bvh,,,unknown,30.0003,1,,[],data/_action_raw/Button Pushing.bvh,sha256:feafb9df5bdbd7241610f3b49aef9b4bda1593c25212b5a795d9e6531a6e13a1,,missing,unverified,,
BVH-000028,Button Pushing_01_mirror,Button Pushing_01_mirror.bvh,local_action_raw:Button Pushing,unknown,local_action_raw,,,,Button Pushing,Button Pushing.bvh,,,unknown,30.0003,1,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Button Pushing.bvh,sha256:feafb9df5bdbd7241610f3b49aef9b4bda1593c25212b5a795d9e6531a6e13a1,,missing,derived_mirror,,
BVH-000029,Center Block (1)_00009,Center Block (1)_00009.bvh,local_action_raw:Center Block (1),unknown,local_action_raw,,,,Center Block (1),Center Block (1).bvh,9,9,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Center Block (1).bvh,sha256:dcaca7223d47fd69d67670a36f7b4c2d1db267ad9c44214047843270f6db4e07,,missing,verified,,
BVH-000030,Center Block (1)_00009_mirror,Center Block (1)_00009_mirror.bvh,local_action_raw:Center Block (1),unknown,local_action_raw,,,,Center Block (1),Center Block (1).bvh,,9,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Center Block (1).bvh,sha256:dcaca7223d47fd69d67670a36f7b4c2d1db267ad9c44214047843270f6db4e07,,missing,derived_mirror,,
BVH-000031,Center Block (1)_00014,Center Block (1)_00014.bvh,local_action_raw:Center Block (1),unknown,local_action_raw,,,,Center Block (1),Center Block (1).bvh,14,14,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Center Block (1).bvh,sha256:dcaca7223d47fd69d67670a36f7b4c2d1db267ad9c44214047843270f6db4e07,,missing,verified,,
BVH-000032,Center Block (1)_00014_mirror,Center Block (1)_00014_mirror.bvh,local_action_raw:Center Block (1),unknown,local_action_raw,,,,Center Block (1),Center Block (1).bvh,,14,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Center Block (1).bvh,sha256:dcaca7223d47fd69d67670a36f7b4c2d1db267ad9c44214047843270f6db4e07,,missing,derived_mirror,,
BVH-000033,Dig And Plant Seeds_00025,Dig And Plant Seeds_00025.bvh,local_action_raw:Dig And Plant Seeds,unknown,local_action_raw,,,,Dig And Plant Seeds,Dig And Plant Seeds.bvh,25,25,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Dig And Plant Seeds.bvh,sha256:dee5c9d700d4c3392f663a9b359ecdf23104e0ecba854c79f91c5a307d76fcf6,,missing,verified,,
BVH-000034,Dig And Plant Seeds_00025_mirror,Dig And Plant Seeds_00025_mirror.bvh,local_action_raw:Dig And Plant Seeds,unknown,local_action_raw,,,,Dig And Plant Seeds,Dig And Plant Seeds.bvh,,25,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Dig And Plant Seeds.bvh,sha256:dee5c9d700d4c3392f663a9b359ecdf23104e0ecba854c79f91c5a307d76fcf6,,missing,derived_mirror,,
BVH-000035,Dig And Plant Seeds_00101_ground,Dig And Plant Seeds_00101_ground.bvh,local_action_raw:Dig And Plant Seeds,unknown,local_action_raw,,,,Dig And Plant Seeds,Dig And Plant Seeds.bvh,101,101,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""},{""status"":""filename_inferred"",""type"":""ground""}]",data/_action_raw/Dig And Plant Seeds.bvh,sha256:dee5c9d700d4c3392f663a9b359ecdf23104e0ecba854c79f91c5a307d76fcf6,,missing,verified,,
BVH-000036,Dig And Plant Seeds_00101_ground_mirror,Dig And Plant Seeds_00101_ground_mirror.bvh,local_action_raw:Dig And Plant Seeds,unknown,local_action_raw,,,,Dig And Plant Seeds,Dig And Plant Seeds.bvh,,101,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""filename_inferred"",""type"":""ground""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Dig And Plant Seeds.bvh,sha256:dee5c9d700d4c3392f663a9b359ecdf23104e0ecba854c79f91c5a307d76fcf6,,missing,derived_mirror,,
BVH-000037,Dig And Plant Seeds_00165,Dig And Plant Seeds_00165.bvh,local_action_raw:Dig And Plant Seeds,unknown,local_action_raw,,,,Dig And Plant Seeds,Dig And Plant Seeds.bvh,165,165,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Dig And Plant Seeds.bvh,sha256:dee5c9d700d4c3392f663a9b359ecdf23104e0ecba854c79f91c5a307d76fcf6,,missing,verified,,
BVH-000038,Dig And Plant Seeds_00165_mirror,Dig And Plant Seeds_00165_mirror.bvh,local_action_raw:Dig And Plant Seeds,unknown,local_action_raw,,,,Dig And Plant Seeds,Dig And Plant Seeds.bvh,,165,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Dig And Plant Seeds.bvh,sha256:dee5c9d700d4c3392f663a9b359ecdf23104e0ecba854c79f91c5a307d76fcf6,,missing,derived_mirror,,
BVH-000039,Dismissing Gesture_01,Dismissing Gesture_01.bvh,local_named:Dismissing Gesture,unknown,local_named,,,,Dismissing Gesture,,,,unknown,,1,,[],,,,missing,unverified,,
BVH-000040,Dismissing Gesture_01_mirror,Dismissing Gesture_01_mirror.bvh,local_named:Dismissing Gesture,unknown,local_named,,,,Dismissing Gesture,,,,unknown,,1,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000041,Draw A Great Sword 2_00000,Draw A Great Sword 2_00000.bvh,local_action_raw:Draw A Great Sword 2,unknown,local_action_raw,,,,Draw A Great Sword 2,Draw A Great Sword 2.bvh,0,0,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Draw A Great Sword 2.bvh,sha256:926b023e1b1efc535a56fab9f4963bb4686432ddf815594681a6498e30c09a37,,missing,verified,,
BVH-000042,Draw A Great Sword 2_00000_mirror,Draw A Great Sword 2_00000_mirror.bvh,local_action_raw:Draw A Great Sword 2,unknown,local_action_raw,,,,Draw A Great Sword 2,Draw A Great Sword 2.bvh,,0,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Draw A Great Sword 2.bvh,sha256:926b023e1b1efc535a56fab9f4963bb4686432ddf815594681a6498e30c09a37,,missing,derived_mirror,,
BVH-000043,Draw A Great Sword 2_00011,Draw A Great Sword 2_00011.bvh,local_action_raw:Draw A Great Sword 2,unknown,local_action_raw,,,,Draw A Great Sword 2,Draw A Great Sword 2.bvh,11,11,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Draw A Great Sword 2.bvh,sha256:926b023e1b1efc535a56fab9f4963bb4686432ddf815594681a6498e30c09a37,,missing,verified,,
BVH-000044,Draw A Great Sword 2_00011_mirror,Draw A Great Sword 2_00011_mirror.bvh,local_action_raw:Draw A Great Sword 2,unknown,local_action_raw,,,,Draw A Great Sword 2,Draw A Great Sword 2.bvh,,11,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Draw A Great Sword 2.bvh,sha256:926b023e1b1efc535a56fab9f4963bb4686432ddf815594681a6498e30c09a37,,missing,derived_mirror,,
BVH-000045,Entry_00135,Entry_00135.bvh,local_action_raw:Entry,unknown,local_action_raw,,,,Entry,Entry.bvh,135,135,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Entry.bvh,sha256:ef8225d51a84bc3402225985a948a3e64deb38a4a670f6710f23a317d70f795b,,missing,verified,,
BVH-000046,Entry_00135_mirror,Entry_00135_mirror.bvh,local_action_raw:Entry,unknown,local_action_raw,,,,Entry,Entry.bvh,,135,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Entry.bvh,sha256:ef8225d51a84bc3402225985a948a3e64deb38a4a670f6710f23a317d70f795b,,missing,derived_mirror,,
BVH-000047,Entry_00183,Entry_00183.bvh,local_action_raw:Entry,unknown,local_action_raw,,,,Entry,Entry.bvh,183,183,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Entry.bvh,sha256:ef8225d51a84bc3402225985a948a3e64deb38a4a670f6710f23a317d70f795b,,missing,verified,,
BVH-000048,Entry_00183_mirror,Entry_00183_mirror.bvh,local_action_raw:Entry,unknown,local_action_raw,,,,Entry,Entry.bvh,,183,unknown,30.0003,,,"[{""status"":""inferred"",""type"":""extract_frame""},{""status"":""paired_member_present"",""type"":""mirror""}]",data/_action_raw/Entry.bvh,sha256:ef8225d51a84bc3402225985a948a3e64deb38a4a670f6710f23a317d70f795b,,missing,derived_mirror,,
BVH-000049,Female Laying Pose_01,Female Laying Pose_01.bvh,local_named:Female Laying Pose,unknown,local_named,,,,Female Laying Pose,,,,unknown,,1,,[],,,,missing,unverified,,
BVH-000050,Female Laying Pose_01_mirror,Female Laying Pose_01_mirror.bvh,local_named:Female Laying Pose,unknown,local_named,,,,Female Laying Pose,,,,unknown,,1,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000051,Female Standing Pose_01,Female Standing Pose_01.bvh,local_named:Female Standing Pose,unknown,local_named,,,,Female Standing Pose,,,,unknown,,1,,[],,,,missing,unverified,,
BVH-000052,Female Standing Pose_01_legfix,Female Standing Pose_01_legfix.bvh,local_named:Female Standing Pose,unknown,local_named,,,,Female Standing Pose,,,,unknown,,1,,"[{""status"":""filename_inferred"",""type"":""legfix""}]",,,,missing,unverified,,
BVH-000053,Female Standing Pose_01_legfix_mirror,Female Standing Pose_01_legfix_mirror.bvh,local_named:Female Standing Pose,unknown,local_named,,,,Female Standing Pose,,,,unknown,,1,,"[{""status"":""filename_inferred"",""type"":""legfix""},{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000054,Female Standing Pose_01_legstraight,Female Standing Pose_01_legstraight.bvh,local_named:Female Standing Pose,unknown,local_named,,,,Female Standing Pose,,,,unknown,,1,,"[{""status"":""filename_inferred"",""type"":""legstraight""}]",,,,missing,unverified,,
BVH-000055,Female Standing Pose_01_legstraight_mirror,Female Standing Pose_01_legstraight_mirror.bvh,local_named:Female Standing Pose,unknown,local_named,,,,Female Standing Pose,,,,unknown,,1,,"[{""status"":""filename_inferred"",""type"":""legstraight""},{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000056,Female Standing Pose_01_mirror,Female Standing Pose_01_mirror.bvh,local_named:Female Standing Pose,unknown,local_named,,,,Female Standing Pose,,,,unknown,,1,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000057,Finding_01,Finding_01.bvh,local_named:Finding,unknown,local_named,,,,Finding,,,,unknown,,1,,[],,,,missing,unverified,,
BVH-000058,Finding_01_mirror,Finding_01_mirror.bvh,local_named:Finding,unknown,local_named,,,,Finding,,,,unknown,,1,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000059,Finding_02,Finding_02.bvh,local_named:Finding,unknown,local_named,,,,Finding,,,,unknown,,2,,[],,,,missing,unverified,,
BVH-000060,Finding_02_mirror,Finding_02_mirror.bvh,local_named:Finding,unknown,local_named,,,,Finding,,,,unknown,,2,,"[{""status"":""paired_member_present"",""type"":""mirror""}]",,,,missing,derived_mirror,,
BVH-000061,Fist Fight B_00075,Fist Fight B_00075.bvh,local_action_raw:Fist Fight B,unknown,local_action_raw,,,,Fist Fight B,Fist Fight B.bvh,75,75,zero,30.0003,,,"[{""status"":""verified"",""type"":""extract_frame""}]",data/_action_raw/Fist Fight B.bvh,sha256:7ed9900ac6e6cda4e9db57c40cc1aa09e4e621476f5bf63c7f340133b1f74a4b,,missing,verified,,
